Table 12--Corn: Cash prices at principal markets (dollars per bushel),,,,,,,,,,,,,,
"Commodity and
mkt yr 1/",,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Avg 2/
"No. 2 yellow, Central IL",1975/76,3,2.52,2.4,2.46,2.46,2.53,2.54,2.52,2.65,2.78,2.81,2.67,2.61
,1976/77,2.57,2.3,2.14,2.32,2.37,2.36,2.37,2.35,2.26,2.12,1.88,1.61,2.22
,1977/78,1.58,1.68,2.03,2.08,2.04,2.06,2.2,2.31,2.34,2.32,2.11,1.98,2.06
,1978/79,1.92,2.02,2.15,2.12,2.12,2.17,2.26,2.32,2.42,2.62,2.84,2.65,2.3
,1979/80,2.58,2.48,2.42,2.52,2.35,2.46,2.38,2.4,2.48,2.52,2.86,3.16,2.55
,1980/81,3.22,3.22,3.38,3.36,3.36,3.28,3.25,3.31,3.26,3.15,3.18,2.86,3.24
,1981/82,2.5,2.4,2.42,2.36,2.44,2.43,2.46,2.59,2.61,2.58,2.5,2.24,2.46
,1982/83,2.14,1.94,2.24,2.28,2.35,2.62,2.82,3.08,3.09,3.14,3.26,3.58,2.71
,1983/84,3.46,3.36,3.37,3.27,3.21,3.15,3.37,3.45,3.44,3.44,3.26,3.16,3.33
,1984/85,2.92,2.66,2.61,2.56,2.64,2.64,2.68,2.72,2.69,2.64,2.6,2.46,2.65
,1985/86,2.28,2.1,2.32,2.38,2.36,2.33,2.29,2.31,2.42,2.41,1.93,1.52,2.22
,1986/87,1.34,1.34,1.55,1.52,1.44,1.38,1.46,1.56,1.75,1.74,1.6,1.46,1.51
,1987/88,1.5,1.64,1.74,1.78,1.84,1.9,1.92,1.92,1.97,2.66,2.85,2.7,2.03
,1988/89,2.68,2.7,2.54,2.58,2.62,2.6,2.64,2.58,2.64,2.53,2.44,2.3,2.57
,1989/90,2.35,2.25,2.29,2.29,2.29,2.34,2.44,2.64,2.73,2.7,2.68,2.54,2.46
,1990/91,2.25,2.18,2.2,2.27,2.31,2.36,2.45,2.5,2.41,2.34,2.34,2.45,2.34
,1991/92,2.39,2.41,2.41,2.42,2.49,2.58,2.64,2.5,2.51,2.51,2.31,2.17,2.45
,1992/93,2.15,1.95,2.02,2.06,2.07,2.05,2.16,2.23,2.2,2.09,2.25,2.25,2.12
,1993/94,2.22,2.27,2.63,2.81,2.89,2.83,2.76,2.6,2.58,2.61,2.19,2.13,2.54
,1994/95,2.08,1.92,2.03,2.16,2.22,2.27,2.36,2.41,2.5,2.65,2.79,2.68,2.34
,1995/96,2.83,3.12,3.22,3.36,3.53,3.71,3.92,4.47,4.86,4.74,4.7,4.48,3.91
